strategy,seed,generations,time_to_resistance,mean_population,mean_survival,final_population,extinct,peak_target_site,kdr,rdl,cyp6,est,gst
mixture:delt-imid-fipr,1008,40,5,400.0,0.19612500000000002,400,0,1.0,1.0,0.9463,0.7,0.0,0.0
mixture:delt-imid-fipr,1009,40,9,400.0,0.2169375,400,0,1.0,1.0,0.9875,0.8912,0.2675,0.0
mixture:delt-imid-fipr,1010,40,6,400.0,0.1550625,400,0,1.0,1.0,0.0,0.1975,0.1862,0.0
mixture:delt-imid-fipr,1011,40,4,400.0,0.239875,400,0,1.0,1.0,1.0,0.9938,0.7762,0.0
untreated,1000,40,,400.0,1.0,400,0,0.1037,0.0075,0.0225,0.0013,0.005,0.03
untreated,1001,40,,400.0,1.0,400,0,0.06,0.0,0.0488,0.03,0.0088,0.0213
untreated,1002,40,,400.0,1.0,400,0,0.045,0.0,0.0,0.025,0.0,0.0
untreated,1003,40,,400.0,1.0,400,0,0.065,0.0063,0.0175,0.0325,0.0037,0.0475
untreated,1004,40,,400.0,1.0,400,0,0.0663,0.0,0.0,0.0163,0.0,0.005
untreated,1005,40,,400.0,1.0,400,0,0.0825,0.0,0.0187,0.0,0.0375,0.0988
untreated,1006,40,,400.0,1.0,400,0,0.0475,0.0075,0.0,0.0163,0.0,0.0138
untreated,1007,40,,400.0,1.0,400,0,0.0725,0.0,0.0013,0.0488,0.0,0.0
untreated,1008,40,,400.0,1.0,400,0,0.0638,0.0288,0.0,0.1913,0.0312,0.03
untreated,1009,40,,400.0,1.0,400,0,0.0638,0.0037,0.0075,0.0225,0.0,0.015
untreated,1010,40,,400.0,1.0,400,0,0.06,0.0213,0.0,0.0,0.0,0.0
untreated,1011,40,,400.0,1.0,400,0,0.0725,0.0125,0.0125,0.0,0.0238,0.0175
